,science,name,birth_place,death_place,birth_date,death_date,age,works,link
5867,Педагоги,Наталия Трулль,Ленинград СССР,,1956-08-21,,63.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D0%BB%D0%BB%D1%8C,_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
5868,Педагоги,Клаус ТрумпфKlaus Trumpf,Рейх Третий Гёрлиц,,1940,,80.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D0%BC%D0%BF%D1%84,_%D0%9A%D0%BB%D0%B0%D1%83%D1%81"
5869,Педагоги,Ирина Борисовна Трусова,РСФСР СССР Томская область Северск,,1959-11-24,,60.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D1%81%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%BD%D0%B0"
5870,Педагоги,Александр Николаевич Трушков,РСФСР Свердловск СССР,,1955-10-24,,64.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D1%88%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
5871,Педагоги,Ги ТувронGuy Michel Touvron,Париж Франция,,1950-09-15,,69.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B2%D1%80%D0%BE%D0%BD,_%D0%93%D0%B8"
5872,Педагоги,Юрий Ленславович Тугаринов,Москва СССР,Москва СССР,1946,2012,66.0,37,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B3%D0%B0%D1%80%D0%B8%D0%BD%D0%BE%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9B%D0%B5%D0%BD%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
5873,Педагоги,Ольга Тудораке,Oituz,Бухарест Румыния,1929-10-11,2017-10-18,88.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B4%D0%BE%D1%80%D0%B0%D0%BA%D0%B5,_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0"
5874,Педагоги,Анна Тулашвилиანა თულაშვილი,Тифлис Российская империя,Грузинская ССР Тбилиси,1874,1956-05-27,82.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BB%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%90%D0%BD%D0%BD%D0%B0_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0"
5875,Педагоги,Мукан Тулебаевказ. Мұқан Төлебаев,Семиреченская область уезд империя Российская Лепсинский,ССР Алма-Ата Казахская,1913-03-13,1960,47.0,21,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BB%D0%B5%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%9C%D1%83%D0%BA%D0%B0%D0%BD_%D0%A2%D1%83%D0%BB%D0%B5%D0%B1%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
5876,Педагоги,Бибигуль Тулегеноваказ. Бибігүл Төлегенова,РСФСР СССР АССР Семипалатинск Казахская,,1929-12-16,,90.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BB%D0%B5%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%91%D0%B8%D0%B1%D0%B8%D0%B3%D1%83%D0%BB%D1%8C_%D0%90%D1%85%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D0%BD%D0%B0"
5877,Педагоги,Михаил Иванович Туманишвили,Грузинская Демократическая Тифлис Республика,Грузия Тбилиси,1921,1996-05-11,75.0,3,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
5878,Педагоги,Туманов Иосиф Михайлович,Тифлис Российская империя,Москва СССР,1909,1981,72.0,32,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%98%D0%BE%D1%81%D0%B8%D1%84_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
5879,Педагоги,Борис Петрович Туманян,Азербайджанская ССР Баку СССР,,1948,,72.0,6,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B0%D0%BD%D1%8F%D0%BD,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
5880,Педагоги,Равиль Рахимович Тумашев,Семипалатинск,Казань,1923-04-21,2016,93.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B0%D1%88%D0%B5%D0%B2,_%D0%A0%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C_%D0%A0%D0%B0%D1%85%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
5881,Педагоги,Борис Иванович Туменко,Харьковская область Красноград,Украина Мелитополь,1946-05-28,2018,72.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
5882,Педагоги,Елена Туменова,Россия Советская Владикавказ,Россия Владикавказ,1919,2005,86.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B5%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0"
5883,Педагоги,Клаус ТунеманнKlaus Thunemann,Пруссия Свободное государство Бранденбург Магдебург рейх Третий,,1937-04-19,,82.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BD%D0%B5%D0%BC%D0%B0%D0%BD%D0%BD,_%D0%9A%D0%BB%D0%B0%D1%83%D1%81"
5884,Педагоги,Николай Леонидович Туницкий,Губерния Панфилы уезд империя Российская Полтавская Переяславский,СССР,1878,1934,56.0,0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BD%D0%B8%D1%86%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
