,science,name,birth_place,death_place,birth_date,death_date,age,works,link
13,Экономисты,Юрий Андреевич Абрамов,Москва СССР,Москва СССР,1936-12-13,2001,65.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
14,Экономисты,Ирина Олеговна Абрамова,СССР Россия Россия СССР,,1962-09-16,,57.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%9E%D0%BB%D0%B5%D0%B3%D0%BE%D0%B2%D0%BD%D0%B0"
15,Экономисты,Мозес Абрамовиц,США Бруклин Нью-Йорк,Калифорния США Санта-Клара Станфорд,1912-01-01,2000-12-01,88.0,3,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%86,_%D0%9C%D0%BE%D0%B7%D0%B5%D1%81"
16,Экономисты,Таймаз Тайсумович Абубакаров,ССР Казахская СССР,,1948,,72.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D0%B1%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%B2,_%D0%A2%D0%B0%D0%B9%D0%BC%D0%B0%D0%B7_%D0%A2%D0%B0%D0%B9%D1%81%D1%83%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
17,Экономисты,Ришат Фазлутдинович Абубакиров,РСФСР Альметьевский район СССР Татарская АССР,РСФСР Альметьевский район СССР Татарская АССР,1959,2019-08-26,60.0,29,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D0%B1%D0%B0%D0%BA%D0%B8%D1%80%D0%BE%D0%B2,_%D0%A0%D0%B8%D1%88%D0%B0%D1%82_%D0%A4%D0%B0%D0%B7%D0%BB%D1%83%D1%82%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
18,Экономисты,Саид-Хасан Саид-Магомедович Абумуслимов,ССР Казахская СССР,,1953,,67.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%83%D0%BC%D1%83%D1%81%D0%BB%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%A1%D0%B0%D0%B8%D0%B4-%D0%A5%D0%B0%D1%81%D0%B0%D0%BD_%D0%A1%D0%B0%D0%B8%D0%B4-%D0%9C%D0%B0%D0%B3%D0%BE%D0%BC%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
19,Экономисты,Нуртай Абыкаевич Абыкаев,Джамбул район область ССР Алма-Атинская Жамбылский Казахская,,1947-05-15,,72.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%8B%D0%BA%D0%B0%D0%B5%D0%B2,_%D0%9D%D1%83%D1%80%D1%82%D0%B0%D0%B9_%D0%90%D0%B1%D1%8B%D0%BA%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
20,Экономисты,Мухаммедкалый Дуйшекеевич Абылгазиев,Район СССР Нарынская область ССР Киргизская Кочкорский,,1968-01-20,,51.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%8B%D0%BB%D0%B3%D0%B0%D0%B7%D0%B8%D0%B5%D0%B2,_%D0%9C%D1%83%D1%85%D0%B0%D0%BC%D0%BC%D0%B5%D0%B4%D0%BA%D0%B0%D0%BB%D1%8B%D0%B9_%D0%94%D1%83%D0%B9%D1%88%D0%B5%D0%BA%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
21,Экономисты,Сергей Юрьевич Аваков,Грузинская ССР Тбилиси СССР,,1958-01-11,,61.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
22,Экономисты,Тадэос Айрапетович Авдалбегян,Маку Иран,Маку Иран,1885-10-15,1937,52.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B0%D0%BB%D0%B1%D0%B5%D0%B3%D1%8F%D0%BD,_%D0%A2%D0%B0%D0%B4%D1%8D%D0%BE%D1%81_%D0%90%D0%B9%D1%80%D0%B0%D0%BF%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
