,science,name,birth_place,death_place,birth_date,death_date,works,link
909,Физики,Лучано Майани,Италия Рим,,1941-07-16,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B0%D0%BD%D0%B8,_%D0%9B%D1%83%D1%87%D0%B0%D0%BD%D0%BE"
910,Физики,"Майер, Александр Александрович (физик)",,,,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_(%D1%84%D0%B8%D0%B7%D0%B8%D0%BA)"
911,Физики,Альфред Майер,США Мэриленд Балтимор,США Нью-Джерси Эссекс,1836-11-13,1897-07-13,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%90%D0%BB%D1%8C%D1%84%D1%80%D0%B5%D0%B4"
912,Физики,Бори́с Оле́гович Ма́йер,СССР Новосибирск,,1954,,48,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9E%D0%BB%D0%B5%D0%B3%D0%BE%D0%B2%D0%B8%D1%87"
913,Физики,Джозеф Эдвард Майер,США Нью-Йорк,США,1904-02-05,1983-10-15,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84_%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4"
914,Физики,Иоганн Тобиас Майер,Брауншвейг-Люнебург Гёттинген,Союз Гёттинген Ганновер Германский Королевство,1752-05-05,1830-11-30,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%98%D0%BE%D0%B3%D0%B0%D0%BD%D0%BD_%D0%A2%D0%BE%D0%B1%D0%B8%D0%B0%D1%81"
915,Физики,Кристиан Майер,Модржице Брно-пригород,Империя Священная Гейдельберг Римская,1719-08-20,1783-04-16,6,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD_(%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC)"
916,Физики,Оскар Эмиль Майер,Фрисландия Фарель,Пруссия империя Германская Силезия королевство Бреслау,1834-10-15,1909-04-21,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%9E%D1%81%D0%BA%D0%B0%D1%80_%D0%AD%D0%BC%D0%B8%D0%BB%D1%8C"
917,Физики,Сергей Осипович Майзель,Санкт-Петербург империя Российская,СССР Москва,1882,1955-07-05,74,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%B7%D0%B5%D0%BB%D1%8C,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9E%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87"
918,Физики,Альберт Абрахам Майкельсон,Пруссия Стрельно,Пасадина Калифорния США,1852-12-19,1931-05-09,7,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BA%D0%B5%D0%BB%D1%8C%D1%81%D0%BE%D0%BD,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82_%D0%90%D0%B1%D1%80%D0%B0%D1%85%D0%B0%D0%BC"
919,Физики,Виталий Иванович Майко,СССР ССР Украинская Винницкая область Проскуров,,1936-05-15,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BA%D0%BE,_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
920,Физики,Иоганн Людвиг Георг Майнеке,Штадтхаген Германия Нижняя Саксония,Шкойдиц Саксония Северная,1781,1823,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5,_%D0%98%D0%BE%D0%B3%D0%B0%D0%BD%D0%BD_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3_%D0%93%D0%B5%D0%BE%D1%80%D0%B3"
921,Физики,Этторе Майорана,Италия Катания,Италия,1906-08-05,1959,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BE%D1%80%D0%B0%D0%BD%D0%B0,_%D0%AD%D1%82%D1%82%D0%BE%D1%80%D0%B5"
922,Физики,Лев Васильевич Майоров,Нижегородская Чернуха Арзамасский район область,Москва,1933-07-18,2005-02-15,1,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BE%D1%80%D0%BE%D0%B2,_%D0%9B%D0%B5%D0%B2_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
923,Физики,Джеймс Мак-Куллах,Landahaussy,,1809,1847-10-24,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA-%D0%9A%D1%83%D0%BB%D0%BB%D0%B0%D1%85,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81"
924,Физики,Артур Афанасьевич Мак,УССР СССР Каменец-Подольский,Санкт-Петербург Россия,1930-05-15,2016-02-21,1,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA,_%D0%90%D1%80%D1%82%D1%83%D1%80_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
925,Физики,Артур Брюс Макдональд,Кейп-Бретон Канада Новая Кейп-Бретон Сидней Шотландия,,1943-08-29,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B4%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4,_%D0%90%D1%80%D1%82%D1%83%D1%80"
926,Физики,Всеволод Юрьевич Макеев,СССР Россия СССР Россия,,1967-08-19,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B5%D0%B5%D0%B2,_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
927,Физики,Малькольм Маккаллум,Великобритания,,1944,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%BA%D0%B0%D0%BB%D0%BB%D1%83%D0%BC,_%D0%9C%D0%B0%D0%BB%D1%8C%D0%BA%D0%BE%D0%BB%D1%8C%D0%BC"
928,Физики,Пётр Васильевич Маковецкий,Сенненский Витебская район область Белоруссия,СССР РСФСР Ленинград,1922-09-25,1980,5,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%BE%D0%B2%D0%B5%D1%86%D0%BA%D0%B8%D0%B9,_%D0%9F%D1%91%D1%82%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
