,science,name,birth_place,death_place,birth_date,death_date,works,link
584,Астрономы,Алекси Клод Клеро,Париж,Париж,1713,1765-05-17,5,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B5%D1%80%D0%BE,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B8_%D0%9A%D0%BB%D0%BE%D0%B4"
585,Астрономы,Иван Антонович Климишин,Кутыска воеводство Збаражский повят повят Польская Республика Тарнопольское,,1933-01-17,,6,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BC%D0%B8%D1%88%D0%B8%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
586,Астрономы,Джен Клина,Великобритания,,,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BD%D0%B0,_%D0%94%D0%B6%D0%B5%D0%BD"
587,Астрономы,Рой Клингэн,США,,1950,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BD%D0%B3%D1%8D%D0%BD,_%D0%A0%D0%BE%D0%B9"
588,Астрономы,Виктор Карлович Кнорре,Николаев империя Российская Херсонская губерния,Берлин Веймарская республика,1840-10-04,1919-08-25,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D0%BE%D1%80%D1%80%D0%B5,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9A%D0%B0%D1%80%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
589,Астрономы,Карл Христофорович Кнорре,Дерпт,Берлин,1801-03-28,1883-09-10,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D0%BE%D1%80%D1%80%D0%B5,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%84%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
590,Астрономы,Дзюро Кобаяси,Кумамото,,1949,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B1%D0%B0%D1%8F%D1%81%D0%B8,_%D0%94%D0%B7%D1%8E%D1%80%D0%BE"
591,Астрономы,Такао Кобаяси,Асикага Япония Тотиги,,1961,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B1%D0%B0%D1%8F%D1%81%D0%B8,_%D0%A2%D0%B0%D0%BA%D0%B0%D0%BE"
592,Астрономы,Жан Ковалевский,Нёйи-сюр-Сен Франция,Нёйи-сюр-Сен Франция,1929-05-18,2018-08-17,1,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%96%D0%B0%D0%BD"
593,Астрономы,Иван Кириллович Коваль,СССР ССР Украинская область Николаевская,,1929-11-10,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
594,Астрономы,Чарльз Томас Коваль,Буффало США Нью-Йорк,Вашингтон США,1940-11-08,2011-11-28,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C,_%D0%A7%D0%B0%D1%80%D0%BB%D1%8C%D0%B7_%D0%A2%D0%BE%D0%BC%D0%B0%D1%81"
595,Астрономы,Александр Марианович Ковальский,Империя Казань Российская,Санкт-Петербург империя Российская,1858,1902,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
596,Астрономы,Мариан Альбертович (Войтехович) Ковальский,Добжинь-над-Вислой империя Российская,Империя Казань Российская,1821,1884,5,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B0%D1%80%D0%B8%D0%B0%D0%BD_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
597,Астрономы,Лубош Когоутек,Забржег Чехословакия,,1935-01-29,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B3%D0%BE%D1%83%D1%82%D0%B5%D0%BA,_%D0%9B%D1%83%D0%B1%D0%BE%D1%88"
598,Астрономы,Жером Эжен Коджа,Аяччо,Аяччо,1849-02-18,1919-01-15,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B4%D0%B6%D0%B0,_%D0%96%D0%B5%D1%80%D0%BE%D0%BC_%D0%AD%D0%B6%D0%B5%D0%BD"
599,Астрономы,Ёсихидэ Кодзаи,Япония Токио,Япония Токио,1928-04-01,2018-02-05,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B4%D0%B7%D0%B0%D0%B8,_%D0%81%D1%81%D0%B8%D1%85%D0%B8%D0%B4%D1%8D"
