,science,name,birth_place,death_place,birth_date,death_date,age,works,link
15,Океанографы,Михаил Петрович Лазарев,Российская Владимир империя,Австрийская Вена империя,1788,1851,63.0,0,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
16,Океанографы,Сергей Дмитриевич Лаппо,Казанская Чистополь губерния,Москва СССР,1895,1972,77.0,2,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BF%D0%BF%D0%BE,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
17,Океанографы,Харитон Прокофьевич Лаптев,Луки царство Великие Русское,Луки губерния империя Российская Новгородская Великие,1700,1763-12-21,63.0,0,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BF%D1%82%D0%B5%D0%B2,_%D0%A5%D0%B0%D1%80%D0%B8%D1%82%D0%BE%D0%BD_%D0%9F%D1%80%D0%BE%D0%BA%D0%BE%D1%84%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
18,Океанографы,Юрий Фёдорович Лисянский,Полк Нежин Нежинский Гетманщина,Российская Санкт-Петербург империя,1773,1837,64.0,16,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%81%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
19,Океанографы,Фёдор Петрович Литке,Российская Санкт-Петербург империя,Российская Санкт-Петербург империя,1797,1882,85.0,5,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%82%D0%BA%D0%B5,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
20,Океанографы,Фёдор Фёдорович Лужин,Российская империя,Российская империя,1695,1727,32.0,0,"https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D0%B6%D0%B8%D0%BD,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
21,Океанографы,Степан Осипович Макаров,Губерния империя Николаев Херсонская Российская,Порт-Артур,1848-12-27,1904-04-13,55.0,30,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%B2,_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD_%D0%9E%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87"
22,Океанографы,Финн Адольф Эрик Юхан Мальмгрен,Швеция Гётеборг,Арктика,1895,1928,33.0,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D0%BC%D0%B3%D1%80%D0%B5%D0%BD,_%D0%A4%D0%B8%D0%BD%D0%BD"
23,Океанографы,Лев Иванович Митин,РСФСР губернии СССР Горки деревня Ярославской уезда Мышкинского,Севастополь Украина,1925-08-23,1998-08-24,73.0,14,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%82%D0%B8%D0%BD,_%D0%9B%D0%B5%D0%B2_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
24,Океанографы,Cepгей Михайлович Михайлов-Расловлев,Саратовская Аткарский уезд губерния,Цусима,1866,1905-05-14,39.0,0,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2-%D0%A0%D0%B0%D1%81%D0%BB%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
25,Океанографы,Константин Павлович Мордовин,Санкт-Петербург,Петроград,1870,1914,44.0,4,"https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B4%D0%BE%D0%B2%D0%B8%D0%BD,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
26,Океанографы,Фритьоф Нансен,Христиании Норвегия,Губерния Берум Норвегия Люсакер Пульхёгда Акерсхус,1861-10-10,1930-05-13,68.0,56,"https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BD%D1%81%D0%B5%D0%BD,_%D0%A4%D1%80%D0%B8%D1%82%D1%8C%D0%BE%D1%84"
27,Океанографы,Пётр Леонтьевич Овсянкин,Кронштадт,Санкт-Петербург,1824-06-23,1888-10-27,64.0,4,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B2%D1%81%D1%8F%D0%BD%D0%BA%D0%B8%D0%BD,_%D0%9F%D1%91%D1%82%D1%80_%D0%9B%D0%B5%D0%BE%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
28,Океанографы,Валерий Михайлович Петько,РСФСР Волгоградской СССР района области Руднянского село Судачье Большое,,1956-10-28,,63.0,11,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%8C%D0%BA%D0%BE,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
29,Океанографы,Владимир Руса́нов,Орёл Российская империя,Море Карское,1875,1913,38.0,1,"https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
30,Океанографы,Харальд Ульрик Свердруп,Норвегия Согн-ог-Фьюране Согндал,Норвегия Осло,1888-11-15,1957-08-21,68.0,4,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B5%D1%80%D0%B4%D1%80%D1%83%D0%BF,_%D0%A5%D0%B0%D1%80%D0%B0%D0%BB%D1%8C%D0%B4_%D0%A3%D0%BB%D1%8C%D1%80%D0%B8%D0%BA"
31,Океанографы,Вильялмур Стефанссон,Манитоба Канада,Хановер США,1879,1962-08-26,83.0,11,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%D1%81%D1%81%D0%BE%D0%BD,_%D0%92%D0%B8%D0%BB%D1%8C%D1%8F%D0%BB%D0%BC%D1%83%D1%80"
32,Океанографы,Сергей Александрович Студенецкий,РСФСР Москва СССР,РФ Москва,1928,2005,77.0,9,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
33,Океанографы,Чарльз Уилкс,Нью-Йорк,Вашингтон,1798,1877,79.0,0,"https://ru.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BB%D0%BA%D1%81,_%D0%A7%D0%B0%D1%80%D0%BB%D1%8C%D0%B7"
34,Океанографы,Бьорн Хелланд-Хансен,Христиания,Берген,1877-10-16,1957,80.0,11,"https://ru.wikipedia.org/wiki/%D0%A5%D0%B5%D0%BB%D0%BB%D0%B0%D0%BD%D0%B4-%D0%A5%D0%B0%D0%BD%D1%81%D0%B5%D0%BD,_%D0%91%D1%8C%D0%BE%D1%80%D0%BD"
35,Океанографы,Юлий Михайлович Шокальский,Российская Санкт-Петербург империя,РСФСР Ленинград СССР,1856,1940-03-26,84.0,8,"https://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AE%D0%BB%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
36,Океанографы,Александр Адольфович Этолин,,,1841,1901,60.0,0,"https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D0%BB%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84%D0%BE%D0%B2%D0%B8%D1%87"
