,science,name,birth_place,death_place,birth_date,death_date,works,link
1519,Математики,Сеймур Пейперт,Претория Южная Африка,Мэн США,1928,2016-07-31,4,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%B9%D0%BF%D0%B5%D1%80%D1%82,_%D0%A1%D0%B5%D0%B9%D0%BC%D1%83%D1%80"
1520,Математики,Жак Пелетье,Ле-Ман Франция,Париж,1517-07-25,1583,7,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BB%D0%B5%D1%82%D1%8C%D0%B5,_%D0%96%D0%B0%D0%BA"
1521,Математики,Джон Пелл,Саутвик,Лондон,1611-03-01,1685-12-12,5,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BB%D0%BB,_%D0%94%D0%B6%D0%BE%D0%BD"
1522,Математики,Жорж Пенвен,Париж Франция,Париж Франция,1886-01-28,1980-01-21,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%B2%D0%B5%D0%BD,_%D0%96%D0%BE%D1%80%D0%B6"
1523,Математики,Поль Пенлеве,Париж Франция,Париж Франция,1863,1933-10-29,2,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%BB%D0%B5%D0%B2%D0%B5,_%D0%9F%D0%BE%D0%BB%D1%8C"
1524,Математики,Уильям Джордж Пенни,Гибралтар,Оксфордшир,1909-06-24,1991-03-03,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%BD%D0%B8,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6"
1525,Математики,Роджер Пенроуз,Колчестер Англия,,1931-08-08,,6,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%80%D0%BE%D1%83%D0%B7,_%D0%A0%D0%BE%D0%B4%D0%B6%D0%B5%D1%80"
1526,Математики,Марианна Яновна Пенская,СССР РСФСР Пермь,,1959-06-16,,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F,_%D0%9C%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D0%BD%D0%B0_%D0%AF%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0"
1527,Математики,Олег Геннадьевич Пенский,СССР Пермь,,1959-04-06,,39,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
1528,Математики,Тейво Пентикяйнен,Выборг Выборгская губерния,Южная Финляндия Эспоо Уусимаа,1917,2006-06-12,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%82%D0%B8%D0%BA%D1%8F%D0%B9%D0%BD%D0%B5%D0%BD,_%D0%A2%D0%B5%D0%B9%D0%B2%D0%BE"
1529,Математики,Иван Михеевич Первушин,Лысьвенский империя Пермская Российская завод уезд Пермский губерния,Мехонское уезд Шадринский губерния,1827,1900,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D1%83%D1%88%D0%B8%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9C%D0%B8%D1%85%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
1530,Математики,Дмитрий Матвеевич Перевощиков,Шишкеев империя Российская наместничество Пензенское,Санкт-Петербург империя Российская,1788,1880,0,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D1%89%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9C%D0%B0%D1%82%D0%B2%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
