,science,name,birth_place,death_place,birth_date,death_date,age,works,link
18,Философы,Абхинавагупта,Кашмир Индия,Кашмир Индия,950,1020,70.0,3,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%85%D0%B8%D0%BD%D0%B0%D0%B2%D0%B0%D0%B3%D1%83%D0%BF%D1%82%D0%B0
19,Философы,Сергей Сергеевич Аванесов,Новосибирская область Искитим СССР,,1963-12-19,,56.0,186,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D0%BD%D0%B5%D1%81%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
20,Философы,Рихард Авенариус,,Цюрих,1843-11-19,1896-08-18,52.0,4,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D0%BD%D0%B0%D1%80%D0%B8%D1%83%D1%81,_%D0%A0%D0%B8%D1%85%D0%B0%D1%80%D0%B4"
21,Философы,Сергей Сергеевич Аверинцев,РСФСР Москва СССР,Вена Австрия,1937-12-10,2004-02-21,66.0,62,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D0%B8%D0%BD%D1%86%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
22,Философы,Авл Корнелий Цельс,Древний Рим,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%BB_%D0%9A%D0%BE%D1%80%D0%BD%D0%B5%D0%BB%D0%B8%D0%B9_%D0%A6%D0%B5%D0%BB%D1%8C%D1%81
23,Философы,Авраам бар-Хия,Барселона Испания,Прованс,1070,1136,66.0,24,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%B0%D0%BC_%D0%B1%D0%B0%D1%80-%D0%A5%D0%B8%D1%8F
24,Философы,Авраам ибн Дауд,Предп. Андалусия Кордова Испания,Испания Толедо,1110,1180,70.0,11,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%B0%D0%BC_%D0%B8%D0%B1%D0%BD_%D0%94%D0%B0%D1%83%D0%B4
25,Философы,Ахед Агаев,РСФСР район СССР Ахтынский АССР Ахты Дагестанская,Россия Махачкала,1924-03-22,2003,79.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B5%D0%B2,_%D0%90%D1%85%D0%B5%D0%B4_%D0%93%D0%B0%D0%B4%D0%B6%D0%B8%D0%BC%D1%83%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
26,Философы,"Агамбен, Джорджо",Рим,,1942-04-22,,77.0,78,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BC%D0%B1%D0%B5%D0%BD,_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D0%BE"
27,Философы,Джозеф Агасси,Палестина Иерусалим,,1927,,93.0,54,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%81%D1%81%D0%B8,_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84"
28,Философы,Эвандро Агацци,Италия Бергамо,,1934-10-23,,85.0,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%86%D1%86%D0%B8,_%D0%AD%D0%B2%D0%B0%D0%BD%D0%B4%D1%80%D0%BE"
