,science,name,birth_place,death_place,birth_date,death_date,age,works,link
15,Географы,Валерий Станиславович Аношко,Слободка район Белорусская СССР сельсовет область ССР Рованичский Червенский Минская,Слободка район Белорусская СССР сельсовет область ССР Рованичский Червенский Минская,1938-08-09,2015-01-17,76.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BE%D1%88%D0%BA%D0%BE,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
16,Географы,Дмитрий Николаевич Анучин,Российская Санкт-Петербург империя,Москва СССР,1843,1923-06-04,80.0,28,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%83%D1%87%D0%B8%D0%BD,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
17,Географы,Карл Арендс,Бавария Верхняя Ингольштадт,Бавария Верхняя Ингольштадт,1815-07-15,1881-10-12,66.0,4,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B5%D0%BD%D0%B4%D1%81,_%D0%9A%D0%B0%D1%80%D0%BB"
18,Географы,Бенедикт Ареций,Беттеркинден Берн Швейцария,Берн,1522,1574-04-22,52.0,6,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B5%D1%86%D0%B8%D0%B9,_%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82"
19,Географы,Алексей Давидович Арманд,СССР Россия Россия СССР,,1931-07-12,,88.0,4,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%BD%D0%B4,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
20,Географы,Владимир Клавдиевич Арсеньев,Российская Санкт-Петербург империя,РСФСР Владивосток СССР,1872-09-10,1930,58.0,18,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9A%D0%BB%D0%B0%D0%B2%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
21,Географы,Константин Иванович Арсеньев,Губерния Чухломской уезд империя Костромская Российская,Петрозаводск Российская империя,1789,1865-12-11,76.0,26,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
22,Географы,Артемидор Эфесский,,,,,,0,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B5%D0%BC%D0%B8%D0%B4%D0%BE%D1%80_%D0%AD%D1%84%D0%B5%D1%81%D1%81%D0%BA%D0%B8%D0%B9
23,Географы,Александр Иванович Артемьев,Саратовская губерния Хвалынск империя Российская,Российская Санкт-Петербург империя,1820-10-24,1874-09-29,53.0,18,"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
24,Географы,Петер Ауфшнайтер,Кицбюэль Австро-Венгрия,Инсбрук Австрия,1899,1973-10-12,74.0,4,"https://ru.wikipedia.org/wiki/%D0%90%D1%83%D1%84%D1%88%D0%BD%D0%B0%D0%B9%D1%82%D0%B5%D1%80,_%D0%9F%D0%B5%D1%82%D0%B5%D1%80"
