,science,name,birth_place,death_place,birth_date,death_date,works,link
124,Психологи,Василий Васильевич Давыдов,СССР Москва,Россия округ Ханты-Мансийский Когалым автономный,1930-08-31,1998-03-19,6,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B2%D1%8B%D0%B4%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3)"
125,Психологи,Хелен Фландерс Данбар,Чикаго,"Кент, Коннектикут",1902-05-14,1959-08-21,6,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B1%D0%B0%D1%80,_%D0%A5%D0%B5%D0%BB%D0%B5%D0%BD_%D0%A4%D0%BB%D0%B0%D0%BD%D0%B4%D0%B5%D1%80%D1%81"
126,Психологи,Джозеф Джексон Даунинг,США Норман,Сан-Франциско США,1924-03-30,1993-10-13,1,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%83%D0%BD%D0%B8%D0%BD%D0%B3,_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84_%D0%94%D0%B6%D0%B5%D0%BA%D1%81%D0%BE%D0%BD"
127,Психологи,Тамара Вульфовна Дембо,Империя Баку Российская,Массачусетс США Вустер,1902-05-28,1993-10-17,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%B1%D0%BE,_%D0%A2%D0%B0%D0%BC%D0%B0%D1%80%D0%B0_%D0%92%D1%83%D0%BB%D1%8C%D1%84%D0%BE%D0%B2%D0%BD%D0%B0"
128,Психологи,Артур Роберт Дженсен,"США штат Калифорния Сан-Диего Калифорния,",Келсивилл Калифорния,1923-08-24,2012-10-22,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%BD%D1%81%D0%B5%D0%BD,_%D0%90%D1%80%D1%82%D1%83%D1%80"
129,Психологи,Эрнест Джонс,Уэльс Великобритания,Лондон,1879,1958-02-11,9,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81,_%D0%AD%D1%80%D0%BD%D0%B5%D1%81%D1%82"
130,Психологи,Вирджиния Джонсон,Миссури США Спрингфилд,Миссури Сент-Луис США,1925-02-11,2013-07-24,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D0%BE%D0%BD,_%D0%92%D0%B8%D1%80%D0%B4%D0%B6%D0%B8%D0%BD%D0%B8%D1%8F"
131,Психологи,Роберт Алекс Джонсон,Портленд,Калифорния США Сан-Диего,1921-05-26,2018-09-12,7,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D0%BE%D0%BD,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%90%D0%BB%D0%B5%D0%BA%D1%81"
132,Психологи,Ана Мария Дзено,Санта-Фе Росарио Аргентина,Санта-Фе Росарио Аргентина,1922-06-07,2011-08-01,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B7%D0%B5%D0%BD%D0%BE,_%D0%90%D0%BD%D0%B0_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F"
133,Психологи,Наталья Витальевна Дмитриева,Моздок,,1955-04-28,,17,"https://ru.wikipedia.org/wiki/%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B0,_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
134,Психологи,"Додонов, Борис Игнатьевич",,,1922,1985-05-03,13,"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B4%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
