,science,name,birth_place,death_place,birth_date,death_date,age,works,link
289,Медики,Евгений Алексеевич Брюн,Ленинград,,1950,,70.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D0%BD,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
290,Медики,Джон Бэнкрофт,,,1936,,84.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D1%8D%D0%BD%D0%BA%D1%80%D0%BE%D1%84%D1%82,_%D0%94%D0%B6%D0%BE%D0%BD"
291,Медики,Юлиус Вагнер-Яурегг,Австрийская империя Вельс,Вена Австрия,1857-03-07,1940-09-27,83.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%B3%D0%BD%D0%B5%D1%80-%D0%AF%D1%83%D1%80%D0%B5%D0%B3%D0%B3,_%D0%AE%D0%BB%D0%B8%D1%83%D1%81"
292,Медики,Векслер Дэвид,Яссы Румыния,США Нью-Йорк,1896-01-12,1981-05-02,85.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BA%D1%81%D0%BB%D0%B5%D1%80,_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4"
293,Медики,Карл Вернике,Тарновске-Гуры Верхняя Силезия Пруссия,Гревенрода Пруссия,1848-05-15,1905-06-15,57.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D0%BD%D0%B8%D0%BA%D0%B5,_%D0%9A%D0%B0%D1%80%D0%BB"
294,Медики,Карл Вестфаль,Германский союз Берлин,Кройцлинген,1833-03-23,1890-01-27,56.0,2,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%81%D1%82%D1%84%D0%B0%D0%BB%D1%8C,_%D0%9A%D0%B0%D1%80%D0%BB"
295,Медики,Виленский Олег Григорьевич,Украинская ССР Днепропетровск СССР,Иерусалим,1931-03-04,2010-07-09,79.0,8,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
296,Медики,Дональд Винникотт,Плимут,Лондон,1896-04-07,1971-01-28,74.0,16,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BD%D0%B8%D0%BA%D0%BE%D1%82%D1%82,_%D0%94%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4_%D0%92%D1%83%D0%B4%D1%81"
297,Медики,"Водарг, Вольфганг",,,,,,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%B0%D1%80%D0%B3,_%D0%92%D0%BE%D0%BB%D1%8C%D1%84%D0%B3%D0%B0%D0%BD%D0%B3"
298,Медики,Роман Матвеевич Войтенко,СССР область Одесская ССР Ананьев Украинская,,1935-09-17,,84.0,13,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D1%82%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9C%D0%B0%D1%82%D0%B2%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
299,Медики,Волкова Нора,Мексика Мехико,,1956-03-27,,63.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%9D%D0%BE%D1%80%D0%B0"
300,Медики,Макс Гамильтон,Германия Гессен Оффенбах-на-Майне Дармштадт,Германия Гессен Оффенбах-на-Майне Дармштадт,1912,1988,76.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BC%D0%B8%D0%BB%D1%8C%D1%82%D0%BE%D0%BD,_%D0%9C%D0%B0%D0%BA%D1%81"
301,Медики,Иван Борисович Галант,Губернии Кролевец Черниговской империя Российская Российская,СССР СССР ССР Белорусской Гомель,1883-02-20,1978-06-17,95.0,15,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BB%D0%B0%D0%BD%D1%82,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
302,Медики,Марк Гарбер,Москва СССР,,1958-01-02,,61.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D0%B1%D0%B5%D1%80,_%D0%9C%D0%B0%D1%80%D0%BA_%D0%A0%D0%B0%D1%84%D0%B0%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
303,Медики,Фёдор Иванович Герцог,Российская империя,Санкт-Петербург,1785,1853-02-27,68.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D1%86%D0%BE%D0%B3,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
304,Медики,Эдуард Гитциг,Германский союз Берлин,Санкт-Блазиен,1838-02-06,1907-08-20,69.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D1%82%D1%86%D0%B8%D0%B3,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4"
305,Медики,Бен Голдакр,Лондон Великобритания,,1974-05-20,,45.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%B4%D0%B0%D0%BA%D1%80,_%D0%91%D0%B5%D0%BD"
306,Медики,Айвен Голдберг,США штат Бруклин Нью-Йорк,США Нью-Йорк,1934-04-13,2013-11-26,79.0,7,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%B4%D0%B1%D0%B5%D1%80%D0%B3,_%D0%90%D0%B9%D0%B2%D0%B5%D0%BD"
