,science,name,birth_place,death_place,birth_date,death_date,works,link
33,Статистики,Иосиф Маркович Гольдштейн,Одесса,Нью-Йорк,1868,1939,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%8C%D0%B4%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%98%D0%BE%D1%81%D0%B8%D1%84_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B8%D1%87"
34,Статистики,Бенджамин Гомперц,Лондон Великобритания,Лондон Великобритания,1779-03-05,1865-07-14,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BC%D0%BF%D0%B5%D1%80%D1%86,_%D0%91%D0%B5%D0%BD%D0%B4%D0%B6%D0%B0%D0%BC%D0%B8%D0%BD"
35,Статистики,Джон Граунт,Королевство Лондон Англия,Королевство Лондон Англия,1620-04-24,1674-04-18,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%83%D0%BD%D1%82,_%D0%94%D0%B6%D0%BE%D0%BD"
36,Статистики,Василий Ильич Гребенщиков,Империя Российская,Империя Российская,1857,1906,4,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%B1%D0%B5%D0%BD%D1%89%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%98%D0%BB%D1%8C%D0%B8%D1%87"
37,Статистики,Василий Николаевич Григорьев,Империя Москва Российская,СССР Москва,1852,1925-02-05,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
38,Статистики,Христиан Георг Натан Давид,Копенгаген Дания,Копенгаген Дания,1793-01-16,1874-06-18,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B2%D0%B8%D0%B4,_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD_%D0%93%D0%B5%D0%BE%D1%80%D0%B3_%D0%9D%D0%B0%D1%82%D0%B0%D0%BD"
39,Статистики,Франц Мартынович Домбровский,Империя Российская,Империя Российская,1820,1866-09-14,30,"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%A4%D1%80%D0%B0%D0%BD%D1%86_%D0%9C%D0%B0%D1%80%D1%82%D1%8B%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
40,Статистики,Константин Сергеевич Есенин,РСФСР Москва,СССР Москва,1920-02-03,1986-04-26,0,"https://ru.wikipedia.org/wiki/%D0%95%D1%81%D0%B5%D0%BD%D0%B8%D0%BD,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
41,Статистики,Андрей Алексеевич Исаев,Суражский уезд Черниговская губерния,Москва,1851,1924,45,"https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%B0%D0%B5%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
42,Статистики,Вячеслав Фёдорович Караваев,Империя Российская,,,,5,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B0%D0%B5%D0%B2,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
